ipAddress,abuseConfidenceScore
185.142.236.34,100
71.6.135.131,100
71.6.199.23,100
80.82.77.139,100
80.82.77.33,100
82.221.105.7,100
71.6.146.185,100
94.102.49.190,100
66.240.192.138,100
66.240.205.34,100
66.240.236.119,100
71.6.146.186,100
71.6.158.166,100
79.124.62.82,100
185.173.35.61,100
92.118.160.41,100
92.118.160.45,100
92.118.161.1,100
198.20.69.98,100
192.241.207.17,100
93.174.95.106,100
192.241.215.47,100
92.118.160.1,100
192.241.206.31,100
192.241.214.204,100
92.118.161.41,100
192.241.214.34,100
185.142.236.35,100
192.241.213.6,100
170.130.187.18,100
104.140.188.34,100
104.140.188.14,100
192.241.204.198,100
92.118.161.29,100
192.241.211.58,100
104.206.128.50,100
162.142.125.121,100
192.241.217.69,100
192.241.214.129,100
185.220.101.144,100
192.241.205.251,100
64.113.32.29,100
170.130.187.54,100
192.241.211.79,100
192.241.206.12,100
71.6.165.200,100
89.248.167.131,100
92.118.161.53,100
192.241.214.163,100
195.144.21.56,100
104.140.188.46,100
192.241.219.38,100
92.118.160.17,100
92.118.160.25,100
92.118.160.29,100
92.118.160.33,100
92.118.160.37,100
92.118.160.49,100
92.118.160.5,100
92.118.160.53,100
223.71.167.166,100
94.102.49.193,100
185.173.35.57,100
185.173.35.33,100
92.118.161.57,100
185.173.35.13,100
183.136.225.56,100
128.14.133.58,100
37.187.139.22,100
92.118.161.13,100
104.206.128.38,100
104.206.128.62,100
92.118.161.49,100
192.241.218.229,100
92.118.161.61,100
104.206.128.54,100
104.206.128.78,100
185.191.171.14,100
192.241.212.136,100
185.173.35.41,100
104.206.128.30,100
192.241.217.36,100
192.241.219.80,100
92.118.161.17,100
104.206.128.26,100
170.130.187.50,100
92.118.161.25,100
170.130.187.34,100
185.173.35.17,100
170.130.187.46,100
170.130.187.2,100
185.173.35.25,100
185.173.35.5,100
192.241.206.21,100
104.140.188.42,100
192.241.208.133,100
64.62.197.32,100
192.241.219.195,100
184.105.247.194,100
184.105.247.252,100
104.140.188.30,100
74.82.47.5,100
65.49.20.66,100
192.241.218.207,100
92.118.161.33,100
192.241.218.58,100
64.62.197.2,100
185.173.35.9,100
64.62.197.212,100
74.82.47.2,100
185.173.35.1,100
192.241.219.157,100
104.140.188.58,100
192.241.219.158,100
64.62.197.152,100
65.49.20.67,100
192.241.218.197,100
192.241.214.96,100
104.140.188.2,100
192.241.216.180,100
185.220.100.254,100
64.62.197.92,100
192.241.218.97,100
170.130.187.10,100
192.241.218.181,100
192.241.218.13,100
192.241.219.204,100
184.105.139.68,100
65.49.20.68,100
192.241.214.140,100
185.173.35.53,100
184.105.139.70,100
216.218.206.67,100
192.241.215.158,100
198.20.87.98,100
185.142.239.16,100
193.37.255.114,100
92.118.161.21,100
185.173.35.45,100
71.6.167.142,100
104.206.128.2,100
65.49.20.69,100
184.105.247.196,100
184.105.247.195,100
184.105.139.67,100
64.62.197.182,100
185.107.47.215,100
183.136.225.42,100
192.241.215.18,100
192.241.220.23,100
216.218.206.69,100
92.118.161.37,100
184.105.139.69,100
184.105.247.254,100
192.241.207.200,100
74.82.47.4,100
216.218.206.68,100
74.82.47.3,100
192.241.219.117,100
170.130.187.22,100
199.195.250.77,100
216.218.206.66,100
104.140.188.22,100
192.241.217.50,100
192.241.216.249,100
192.241.213.215,100
192.241.220.12,100
104.206.128.14,100
104.206.128.6,100
170.130.187.14,100
192.241.218.89,100
123.160.221.13,100
123.160.221.17,100
104.140.188.6,100
185.181.102.18,100
192.241.212.102,100
192.241.205.250,100
27.115.124.10,100
27.115.124.36,100
27.115.124.75,100
89.248.165.201,100
192.241.207.16,100
192.241.218.134,100
192.241.218.213,98
192.241.208.213,94
205.205.150.28,89
18.27.197.252,82
192.185.179.144,49
85.114.101.170,47
85.115.52.140,40
209.85.210.66,39
45.133.172.51,37
113.131.200.22,32
64.15.129.101,32
72.55.136.201,32
192.241.218.45,31
122.228.19.80,30
167.248.133.38,29
167.248.133.53,27
70.38.27.249,27
162.142.125.38,26
193.169.255.34,26
167.248.133.37,24
167.248.133.39,24
167.248.133.40,23
162.142.125.54,22
162.142.125.39,22
167.248.133.55,22
192.175.111.239,22
162.142.125.37,22
45.9.249.35,21
192.175.111.238,21
125.64.94.136,21
156.146.50.37,21
