Category,Type,Value,Comment
Payload delivery,ip-src,165.231.142.36,RDP attacker source
Network activity,ip-dst,185.86.76.30,FTP exfiltration
Network activity,domain,lockbit-decryptor.com,
Artifacts dropped,malware-sample,Wsaja.exe|b9a37230d29c751b2d6622f0f4e63fa7,
Artifacts dropped,md5,b9a37230d29c751b2d6622f0f4e63fa7,
Artifacts dropped,sha1,7f838e43f478008564acfe3802c8b9e346785f27,
Artifacts dropped,sha256,84303152ca1d42d262e01c664be3ac1b641dfb5e0e8b121731da34f27c88de09,
Artifacts dropped,malware-sample,svchost.exe|50f8f376d4b53027920f2a6fa5845efb,
Artifacts dropped,md5,50f8f376d4b53027920f2a6fa5845efb,
Artifacts dropped,sha1,ce4614fe2e01c8e4feaf7c79c6a1c70697d89cd3,
Artifacts dropped,sha256,27772574d00fef60de5251b2438db57b3a2645bd70e4aab13c84894844ba173f,
Artifacts dropped,malware-sample,9689A16B72D48DAB.exe|5b741c6abf44d2eecd853addeafdcf24,
Artifacts dropped,md5,5b741c6abf44d2eecd853addeafdcf24,
Artifacts dropped,sha1,51b88dbb3d241709c25943928fefc1b1909768df,
Artifacts dropped,sha256,f173904cf7d15c9c52f22813cb846814f9292227f4321d497cbf14adc05151f4,
Artifacts dropped,malware-sample,screensaver.exe|f9073cc6566ba11318b425a761f1ce17,
Artifacts dropped,md5,f9073cc6566ba11318b425a761f1ce17,
Artifacts dropped,sha1,d378ce237e83314c9844b4e6ce4867e2783737db,
Artifacts dropped,sha256,c3ec60b8052e31db149c35080afea5b57b1e8a034386555d12035eb5edefdd68,
Artifacts dropped,sha256,ffbb6c4d8d704a530bdd557890f367ad904c09c03f53fda5615a7208a0ea3e4d,
Artifacts dropped,sha256,286bffaa9c81abfb938fe65be198770c38115cdec95865a241f913769e9bfd3f,
Artifacts dropped,sha256,76a77def28acf51b2b7cdcbfaa182fe5726dd3f9e891682a4efc3226640b9c78,
Artifacts dropped,sha256,faa3453ceb1bd4e5b0b10171eaa908e56e7275173178010fcc323fdea67a6869,
Artifacts dropped,sha256,70cb1a8cb4259b72b704e81349c2ad5ac60cd1254a810ef68757f8c9409e3ea6,
Artifacts dropped,sha256,ec88f821d22e5553afb94b4834f91ecdedeb27d9ebfd882a7d8f33b5f12ac38d,
Artifacts dropped,sha256,13849c0c923bfed5ab37224d59e2d12e3e72f97dc7f539136ae09484cbe8e5e0,
Artifacts dropped,sha256,6fedf83e76d76c59c8ad0da4c5af28f23a12119779f793fd253231b5e3b00a1a,
Artifacts dropped,sha256,c8205792fbc0a5efc6b8f0f2257514990bfaa987768c4839d413dd10721e8871,
Artifacts dropped,sha256,15a7d528587ffc860f038bb5be5e90b79060fbba5948766d9f8aa46381ccde8a,
Artifacts dropped,sha256,0f5d71496ab540c3395cfc024778a7ac5c6b5418f165cc753ea2b2befbd42d51,
Artifacts dropped,sha256,0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,
Artifacts dropped,sha256,410c884d883ebe2172507b5eadd10bc8a2ae2564ba0d33b1e84e5f3c22bd3677,
Artifacts dropped,sha256,e3f236e4aeb73f8f8f0caebe46f53abbb2f71fa4b266a34ab50e01933709e877,
Artifacts dropped,sha256,0f178bc093b6b9d25924a85d9a7dde64592215599733e83e3bbc6df219564335,
Artifacts dropped,sha256,1b109db549dd0bf64cadafec575b5895690760c7180a4edbf0c5296766162f18,
Artifacts dropped,sha256,26b6a9fecfc9d4b4b2c2ff02885b257721687e6b820f72cf2e66c1cae2675739,
Artifacts dropped,sha256,69d9dd7fdd88f33e2343fb391ba063a65fe5ffbe649da1c5083ec4a67c525997,
Artifacts dropped,sha256,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,
Artifacts dropped,sha256,1e3bf358c76f4030ffc4437d5fcd80c54bd91b361abb43a4fa6340e62d986770,
Artifacts dropped,sha256,5072678821b490853eff0a97191f262c4e8404984dd8d5be1151fef437ca26db,
Artifacts dropped,sha256,ca57455fd148754bf443a2c8b06dc2a295f014b071e3990dd99916250d21bc75,
Network activity,domain,https://espet[.]se/images/rs35.png,
Network activity,domain,https://espet[.]se/images/rs40.png,
Network activity,,88[.]218[.]17[.]196,
Network activity,,79[.]124[.]62[.]52,
